subject,trial_id,gain,loss,trial_pay,stage_pay,win_plan_take_final_take,win_plan_take_final_reject,win_plan_reject_final_take,win_plan_reject_final_reject,lose_plan_take_final_take,lose_plan_take_final_reject,lose_plan_reject_final_take,lose_plan_reject_final_reject
73,12,200,-180,60,-180,0,0,0,0,0,0,1,0
73,13,200,-100,-180,200,1,0,0,0,0,0,0,0
73,14,140,-100,400,140,0,1,0,0,0,0,0,0
73,15,200,-140,140,200,0,1,0,0,0,0,0,0
73,16,80,-100,200,-100,0,0,0,0,1,0,0,0
73,17,100,-100,-200,-100,0,0,0,0,0,1,0,0
73,18,200,-200,-200,200,0,1,0,0,0,0,0,0
73,19,160,-140,200,-140,0,0,0,0,0,1,0,0
73,20,120,-100,-140,120,0,0,0,1,0,0,0,0
73,21,180,-200,120,180,0,1,0,0,0,0,0,0
73,22,200,-120,180,200,0,0,0,1,0,0,0,0
73,23,180,-100,200,-100,0,0,0,0,0,0,1,0
73,24,100,-120,-100,-120,0,0,0,0,0,1,0,0
73,25,200,-160,-120,-160,0,0,0,0,1,0,0,0
73,26,200,-220,-320,200,1,0,0,0,0,0,0,0
73,27,160,-100,400,-100,0,0,0,0,1,0,0,0
73,28,200,-180,60,-180,0,0,0,0,1,0,0,0
73,29,200,-100,20,200,0,0,0,1,0,0,0,0
73,30,140,-100,200,140,0,0,0,1,0,0,0,0
73,31,200,-140,140,200,0,0,0,1,0,0,0,0
73,32,80,-100,200,-100,0,0,0,0,0,0,0,1
73,33,100,-100,-100,-100,0,0,0,0,0,1,0,0
74,1,200,-100,0,-100,0,0,0,0,1,0,0,0
74,2,200,-200,100,200,0,0,0,1,0,0,0,0
74,3,160,-140,200,-140,0,0,0,0,1,0,0,0
74,4,120,-100,20,120,0,0,0,1,0,0,0,0
74,5,180,-200,120,180,0,0,0,1,0,0,0,0
74,6,200,-120,180,200,0,0,0,1,0,0,0,0
74,7,180,-100,200,-100,0,0,0,0,0,0,1,0
74,8,100,-120,80,-120,0,0,0,0,1,0,0,0
74,9,200,-160,-240,-160,0,0,0,0,0,1,0,0
74,10,200,-220,-320,200,0,0,0,1,0,0,0,0
74,11,160,-100,200,-100,0,0,0,0,1,0,0,0
74,12,200,-180,60,-180,0,0,0,0,0,1,0,0
74,13,200,-100,20,200,0,0,1,0,0,0,0,0
74,14,140,-100,400,140,0,0,0,1,0,0,0,0
74,15,200,-140,140,200,0,0,1,0,0,0,0,0
74,16,80,-100,60,-100,0,0,0,0,0,0,0,1
74,17,100,-100,-100,-100,0,0,0,0,1,0,0,0
74,18,200,-200,-200,200,0,0,0,1,0,0,0,0
74,19,160,-140,200,-140,0,0,0,0,0,0,0,1
74,20,120,-100,-140,120,0,0,0,1,0,0,0,0
74,21,180,-200,120,180,0,0,0,1,0,0,0,0
74,22,200,-120,180,200,1,0,0,0,0,0,0,0
74,23,180,-100,80,-100,0,0,0,0,0,1,0,0
74,24,100,-120,80,-120,0,0,0,0,0,0,0,1
74,25,200,-160,-120,-160,0,0,0,0,1,0,0,0
74,26,200,-220,-320,200,0,0,0,1,0,0,0,0
74,27,160,-100,200,-100,0,0,0,0,1,0,0,0
74,28,200,-180,60,-180,0,0,0,0,0,0,0,1
74,29,200,-100,-180,200,1,0,0,0,0,0,0,0
74,30,140,-100,400,140,0,0,0,1,0,0,0,0
74,31,200,-140,140,200,0,0,0,1,0,0,0,0
74,32,80,-100,200,-100,0,0,0,0,0,0,0,1
74,33,100,-100,-100,-100,0,0,0,0,1,0,0,0
75,1,200,-100,0,-100,0,0,0,0,1,0,0,0
75,2,200,-200,100,200,0,0,0,1,0,0,0,0
75,3,160,-140,200,-140,0,0,0,0,0,1,0,0
75,4,120,-100,-140,120,0,0,0,1,0,0,0,0
75,5,180,-200,120,180,0,0,0,1,0,0,0,0
75,6,200,-120,180,200,1,0,0,0,0,0,0,0
75,7,180,-100,80,-100,0,0,0,0,1,0,0,0
75,8,100,-120,80,-120,0,0,0,0,0,0,0,1
75,9,200,-160,-120,-160,0,0,0,0,1,0,0,0
75,10,200,-220,-320,200,0,0,0,1,0,0,0,0
75,11,160,-100,200,-100,0,0,0,0,1,0,0,0
75,12,200,-180,60,-180,0,0,0,0,1,0,0,0
75,13,200,-100,20,200,1,0,0,0,0,0,0,0
75,14,140,-100,400,140,0,1,0,0,0,0,0,0
75,15,200,-140,40,200,1,0,0,0,0,0,0,0
75,16,80,-100,60,-100,0,0,0,0,0,0,0,1
75,17,100,-100,-100,-100,0,0,0,0,1,0,0,0
75,18,200,-200,-200,200,0,0,0,1,0,0,0,0
75,19,160,-140,200,-140,0,0,0,0,1,0,0,0
75,20,120,-100,20,120,0,0,0,1,0,0,0,0
75,21,180,-200,120,180,0,0,0,1,0,0,0,0
75,22,200,-120,180,200,1,0,0,0,0,0,0,0
75,23,180,-100,80,-100,0,0,0,0,1,0,0,0
75,24,100,-120,80,-120,0,0,0,0,0,0,0,1
75,25,200,-160,-120,-160,0,0,0,0,1,0,0,0
75,26,200,-220,-320,200,0,0,0,1,0,0,0,0
75,27,160,-100,200,-100,0,0,0,0,1,0,0,0
75,28,200,-180,60,-180,0,0,0,0,1,0,0,0
75,29,200,-100,20,200,1,0,0,0,0,0,0,0
75,30,140,-100,400,140,0,0,0,1,0,0,0,0
75,31,200,-140,140,200,0,0,0,1,0,0,0,0
75,32,80,-100,200,-100,0,0,0,0,0,0,0,1
75,33,100,-100,-100,-100,0,0,0,0,0,0,0,1
76,1,200,-100,0,-100,0,0,0,0,0,0,0,1
76,2,200,-200,-100,200,0,0,0,1,0,0,0,0
76,3,160,-140,200,-140,0,0,0,0,0,0,0,1
76,4,120,-100,-140,120,1,0,0,0,0,0,0,0
76,5,180,-200,20,180,0,0,0,1,0,0,0,0
76,6,200,-120,180,200,0,1,0,0,0,0,0,0
76,7,180,-100,200,-100,0,0,0,0,1,0,0,0
76,8,100,-120,80,-120,0,0,0,0,1,0,0,0
76,9,200,-160,-240,-160,0,0,0,0,1,0,0,0
76,10,200,-220,-320,200,1,0,0,0,0,0,0,0
76,11,160,-100,400,-100,0,0,0,0,0,0,1,0
76,12,200,-180,60,-180,0,0,0,0,1,0,0,0
76,13,200,-100,20,200,1,0,0,0,0,0,0,0
76,14,140,-100,400,140,0,0,0,1,0,0,0,0
76,15,200,-140,140,200,0,1,0,0,0,0,0,0
76,16,80,-100,60,-100,0,0,0,0,1,0,0,0
76,17,100,-100,-200,-100,0,0,0,0,1,0,0,0
76,18,200,-200,-200,200,1,0,0,0,0,0,0,0
76,19,160,-140,400,-140,0,0,0,0,1,0,0,0
76,20,120,-100,20,120,1,0,0,0,0,0,0,0
76,21,180,-200,20,180,1,0,0,0,0,0,0,0
76,22,200,-120,360,200,0,1,0,0,0,0,0,0
76,23,180,-100,200,-100,0,0,0,0,1,0,0,0
76,24,100,-120,80,-120,0,0,0,0,1,0,0,0
76,25,200,-160,-240,-160,0,0,0,0,1,0,0,0
76,26,200,-220,-320,200,1,0,0,0,0,0,0,0
76,27,160,-100,400,-100,0,0,0,0,1,0,0,0
76,28,200,-180,60,-180,0,0,0,0,0,0,1,0
76,29,200,-100,20,200,0,0,0,1,0,0,0,0
76,30,140,-100,200,140,1,0,0,0,0,0,0,0
76,31,200,-140,40,200,0,0,0,1,0,0,0,0
76,32,80,-100,200,-100,0,0,0,0,0,0,0,1
76,33,100,-100,-100,-100,0,0,0,0,1,0,0,0
77,1,200,-100,0,-100,0,0,0,0,1,0,0,0
77,2,200,-200,100,200,1,0,0,0,0,0,0,0
77,3,160,-140,400,-140,0,0,0,0,1,0,0,0
77,4,120,-100,20,120,1,0,0,0,0,0,0,0
77,5,180,-200,20,180,1,0,0,0,0,0,0,0
77,6,200,-120,360,200,1,0,0,0,0,0,0,0
77,7,180,-100,80,-100,0,0,0,0,1,0,0,0
77,8,100,-120,80,-120,0,0,0,0,1,0,0,0
77,9,200,-160,-240,-160,0,0,0,0,1,0,0,0
77,10,200,-220,-320,200,0,1,0,0,0,0,0,0
77,11,160,-100,200,-100,0,0,0,0,1,0,0,0
77,12,200,-180,60,-180,0,0,0,0,1,0,0,0
77,13,200,-100,20,200,1,0,0,0,0,0,0,0
77,14,140,-100,400,140,1,0,0,0,0,0,0,0
77,15,200,-140,40,200,1,0,0,0,0,0,0,0
77,16,80,-100,60,-100,0,0,0,0,0,0,0,1
77,17,100,-100,-100,-100,0,0,0,0,0,1,0,0
77,18,200,-200,-200,200,0,0,0,1,0,0,0,0
77,19,160,-140,200,-140,0,0,0,0,0,0,1,0
77,20,120,-100,20,120,1,0,0,0,0,0,0,0
77,21,180,-200,20,180,0,0,0,1,0,0,0,0
77,22,200,-120,180,200,1,0,0,0,0,0,0,0
77,23,180,-100,80,-100,0,0,0,0,0,0,1,0
77,24,100,-120,-100,-120,0,0,0,0,0,0,0,1
77,25,200,-160,-120,-160,0,0,0,0,0,0,0,1
77,26,200,-220,-160,200,0,0,0,1,0,0,0,0
77,27,160,-100,200,-100,0,0,0,0,1,0,0,0
77,28,200,-180,60,-180,0,0,0,0,0,0,0,1
77,29,200,-100,-180,200,1,0,0,0,0,0,0,0
77,30,140,-100,400,140,1,0,0,0,0,0,0,0
77,31,200,-140,40,200,1,0,0,0,0,0,0,0
77,32,80,-100,60,-100,0,0,0,0,0,0,0,1
77,33,100,-100,-100,-100,0,0,0,0,1,0,0,0
78,1,200,-100,0,-100,0,0,0,0,1,0,0,0
78,2,200,-200,100,200,1,0,0,0,0,0,0,0
78,3,160,-140,400,-140,0,0,0,0,1,0,0,0
78,4,120,-100,20,120,1,0,0,0,0,0,0,0
78,5,180,-200,20,180,1,0,0,0,0,0,0,0
78,6,200,-120,360,200,1,0,0,0,0,0,0,0
78,7,180,-100,80,-100,0,0,0,0,1,0,0,0
78,8,100,-120,80,-120,0,0,0,0,1,0,0,0
78,9,200,-160,-240,-160,0,0,0,0,1,0,0,0
78,10,200,-220,-320,200,1,0,0,0,0,0,0,0
78,11,160,-100,400,-100,0,0,0,0,1,0,0,0
78,12,200,-180,60,-180,0,0,0,0,1,0,0,0
78,13,200,-100,20,200,1,0,0,0,0,0,0,0
78,14,140,-100,400,140,1,0,0,0,0,0,0,0
78,15,200,-140,40,200,1,0,0,0,0,0,0,0
78,16,80,-100,60,-100,0,0,0,0,0,0,1,0
78,17,100,-100,-100,-100,0,0,0,0,0,0,1,0
78,18,200,-200,-200,200,0,1,0,0,0,0,0,0
78,19,160,-140,400,-140,0,0,0,0,0,0,0,1
78,20,120,-100,-140,120,0,1,0,0,0,0,0,0
78,21,180,-200,20,180,0,0,0,1,0,0,0,0
78,22,200,-120,180,200,0,0,1,0,0,0,0,0
78,23,180,-100,80,-100,0,0,0,0,0,0,1,0
78,24,100,-120,80,-120,0,0,0,0,1,0,0,0
78,25,200,-160,-240,-160,0,0,0,0,1,0,0,0
78,26,200,-220,-320,200,0,0,0,1,0,0,0,0
78,27,160,-100,200,-100,0,0,0,0,1,0,0,0
78,28,200,-180,60,-180,0,0,0,0,1,0,0,0
78,29,200,-100,20,200,1,0,0,0,0,0,0,0
78,30,140,-100,400,140,1,0,0,0,0,0,0,0
78,31,200,-140,40,200,0,0,0,1,0,0,0,0
78,32,80,-100,200,-100,0,0,0,0,0,0,0,1
78,33,100,-100,-100,-100,0,0,0,0,1,0,0,0
79,1,200,-100,0,-100,0,0,0,0,1,0,0,0
79,2,200,-200,100,200,0,0,1,0,0,0,0,0
79,3,160,-140,200,-140,0,0,0,0,1,0,0,0
79,4,120,-100,20,120,1,0,0,0,0,0,0,0
79,5,180,-200,20,180,0,0,0,1,0,0,0,0
79,6,200,-120,180,200,1,0,0,0,0,0,0,0
79,7,180,-100,80,-100,0,0,0,0,1,0,0,0
79,8,100,-120,80,-120,0,0,0,0,0,0,0,1
79,9,200,-160,-120,-160,0,0,0,0,1,0,0,0
79,10,200,-220,-320,200,0,0,0,1,0,0,0,0
79,11,160,-100,200,-100,0,0,0,0,0,0,0,1
79,12,200,-180,-100,-180,0,0,0,0,0,0,0,1
79,13,200,-100,-180,200,0,0,0,1,0,0,0,0
79,14,140,-100,200,140,0,0,0,1,0,0,0,0
79,15,200,-140,140,200,0,0,0,1,0,0,0,0
79,16,80,-100,200,-100,0,0,0,0,0,0,0,1
79,17,100,-100,-100,-100,0,0,0,0,1,0,0,0
79,18,200,-200,-200,200,0,0,0,1,0,0,0,0
79,19,160,-140,200,-140,0,0,0,0,0,0,0,1
79,20,120,-100,-140,120,0,0,0,1,0,0,0,0
79,21,180,-200,120,180,0,0,0,1,0,0,0,0
79,22,200,-120,180,200,0,0,0,1,0,0,0,0
79,23,180,-100,200,-100,0,0,0,0,0,0,0,1
79,24,100,-120,-100,-120,0,0,0,0,0,0,0,1
79,25,200,-160,-120,-160,0,0,0,0,0,0,0,1
79,26,200,-220,-160,200,0,0,0,1,0,0,0,0
79,27,160,-100,200,-100,0,0,0,0,0,0,0,1
79,28,200,-180,-100,-180,0,0,0,0,0,0,0,1
79,29,200,-100,-180,200,1,0,0,0,0,0,0,0
79,30,140,-100,400,140,1,0,0,0,0,0,0,0
79,31,200,-140,40,200,1,0,0,0,0,0,0,0
79,32,80,-100,60,-100,0,0,0,0,0,0,0,1
79,33,100,-100,-100,-100,0,0,0,0,0,0,0,1
80,1,200,-100,0,-100,0,0,0,0,0,0,0,1
